source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
OKLO_12.31_100call2026-05-15.txt,2025-12-31,04:59:45,OKLO,ASK,74,call,2026-02-06,35d,$71.86,$6.98 - $7.25,$7.25,58,$42K,103,1,103.00,56%,"2,994",88.40,0.5161,-0.1077,0.0194,0.0924,0.0311,7.25,Utilities,Utilities - Regulated Electric,80,,74 call 2026-02-06
OKLO_12.31_100call2026-05-15.txt,2025-12-31,04:17:33,OKLO,BID,115,put,2026-02-06,35d,$72.40,$41.70 - $43.90,$42.73,10,$43K,11,1,11.00,100%,-973,70.06,-0.9734,-0.0126,0.0038,0.0144,-0.1179,42.73,Utilities,Utilities - Regulated Electric,80,,115 put 2026-02-06
OKLO_12.31_100call2026-05-15.txt,2025-12-31,00:28:45,OKLO,ASK,100,call,2026-05-15,133d,$74.09,$9.25 - $9.80,$9.70,150,$146K,154,143,1.08,97%,"6,237",96.58,0.4158,-0.0627,0.0089,0.1764,0.0786,9.70,Utilities,Utilities - Regulated Electric,80,Floor Trade Large Cap,100 call 2026-05-15
OKLO_12.31_100call2026-05-15.txt,2025-12-30,23:56:22,OKLO,ASK,74,put,2026-01-30,28d,$73.72,$7.10 - $8.05,$7.66,80,$61K,80,33,2.42,100%,"-3,637",87.88,-0.4546,-0.1205,0.021,0.0852,-0.035,7.66,Utilities,Utilities - Regulated Electric,80,,74 put 2026-01-30
OKLO_12.31_100call2026-05-15.txt,2025-12-30,02:15:59,OKLO,ASK,85,put,2026-01-09,7d,$74.33,$11.40 - $12.30,$11.87,202,$240K,221,109,2.03,94%,"-16,040",86.26,-0.7941,-0.1439,0.0256,0.0368,-0.0214,11.87,Utilities,Utilities - Regulated Electric,80,,85 put 2026-01-09
OKLO_12.31_100call2026-05-15.txt,2025-12-30,01:57:06,OKLO,BID,55,put,2026-09-18,259d,$74.46,$11.00 - $11.30,$11.01,71,$78K,72,50,1.44,100%,"-1,544",90.67,-0.2174,-0.0318,0.0051,0.1859,-0.196,11.01,Utilities,Utilities - Regulated Electric,80,Repeated Hits Descending Fill,55 put 2026-09-18
OKLO_12.31_100call2026-05-15.txt,2025-12-30,01:00:01,OKLO,BID,74,call,2026-01-09,7d,$74.55,$4.70 - $5.10,$4.85,90,$44K,153,15,10.20,93%,"4,950",88.88,0.55,-0.2071,0.0344,0.0512,0.0109,4.85,Utilities,Utilities - Regulated Electric,80,,74 call 2026-01-09
OKLO_12.31_100call2026-05-15.txt,2025-12-26,23:35:40,OKLO,ASK,85,call,2028-01-21,749d,$77.45,$35.85 - $38.25,$37.26,96,$358K,107,78,1.37,91%,"7,014",94.35,0.7306,-0.0231,0.0031,0.3681,0.4003,37.26,Utilities,Utilities - Regulated Electric,80,,85 call 2028-01-21
OKLO_12.31_100call2026-05-15.txt,2025-12-26,23:29:19,OKLO,ASK,65,put,2026-06-18,167d,$77.64,$12.00 - $12.25,$12.25,250,$306K,256,131,1.95,100%,"-6,862",92.92,-0.2745,-0.0475,0.0067,0.1787,-0.16,12.25,Utilities,Utilities - Regulated Electric,80,,65 put 2026-06-18
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:23:21,OKLO,BID,95,call,2026-02-20,49d,$80.86,$6.05 - $6.45,$6.05,500,$303K,510,120,4.25,98%,"18,987",84.88,0.3797,-0.0899,0.0139,0.1227,0.0392,6.05,Utilities,Utilities - Regulated Electric,80,,95 call 2026-02-20
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,118,put,2025-12-26,-7d,$80.31,$36.20 - $39.65,$36.20,31,$112K,35,9,3.89,94%,"-2,602",449.04,-0.8393,-1.6283,0.0091,0.0145,-0.0059,39.65,Utilities,Utilities - Regulated Electric,80,,118 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,115,put,2025-12-26,-7d,$80.31,$34.15 - $36.25,$34.15,14,$48K,15,4,3.75,100%,"-1,198",401.23,-0.8555,-1.3555,0.0095,0.0135,-0.0058,36.25,Utilities,Utilities - Regulated Electric,80,,115 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,100,put,2025-12-26,-7d,$80.31,$19.05 - $20.85,$19.05,508,$968K,515,142,3.63,99%,"-42,981",264.99,-0.8461,-0.9339,0.0151,0.0141,-0.0049,20.85,Utilities,Utilities - Regulated Electric,80,,100 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,ASK,104,put,2025-12-26,-7d,$80.31,$23.15 - $25.25,$24.90,240,$598K,254,52,4.88,95%,"-20,508",299.30,-0.8545,-1.0159,0.0128,0.0136,-0.0051,24.90,Utilities,Utilities - Regulated Electric,80,,104 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,101,put,2025-12-26,-7d,$80.31,$20.10 - $22.25,$20.10,145,$291K,151,29,5.21,97%,"-11,912",300.01,-0.8215,-1.1635,0.0146,0.0155,-0.0048,22.25,Utilities,Utilities - Regulated Electric,80,,101 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,103,put,2025-12-26,-7d,$80.31,$22.15 - $24.25,$22.15,110,$244K,114,30,3.80,96%,"-9,109",316.01,-0.8281,-1.1965,0.0136,0.0151,-0.005,24.25,Utilities,Utilities - Regulated Electric,80,,103 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,99,put,2025-12-26,-7d,$80.31,$18.25 - $20.25,$18.25,85,$155K,87,37,2.35,98%,"-6,918",283.38,-0.8139,-1.1279,0.0159,0.0159,-0.0047,20.25,Utilities,Utilities - Regulated Electric,80,,99 put 2025-12-26
OKLO_12.31_100call2026-05-15.txt,2025-12-25,01:05:07,OKLO,BID,106,put,2025-12-26,-7d,$80.31,$25.15 - $27.25,$25.15,15,$38K,17,3,5.67,94%,"-1,255",338.92,-0.8367,-1.2419,0.0122,0.0147,-0.0052,27.25,Utilities,Utilities - Regulated Electric,80,,106 put 2025-12-26
